CUSTOMER_ID,EMPLOYEE_SIZE,CUSTOMER_SEGMENT
H01044300,Undefined,NAM Low-Touch
H01044354,1 to 25,NAM Direct
H01044388,26 to 200,NAM Direct
H01044429,1 to 25,NAM Low-Touch
H01044437,1 to 25,NAM Low-Touch
H01044473,26 to 200,NAM Direct
H01044518,1 to 25,NAM Direct
H01044546,1 to 25,NAM Low-Touch
H01044606,201 or Above,NAM Low-Touch
H01044640,1 to 25,NAM Low-Touch
H01044714,26 to 200,NAM Low-Touch
H01044772,1 to 25,NAM Partner
H01044795,26 to 200,International Low-touch
H01044945,26 to 200,NAM Low-Touch
H01044986,1 to 25,NAM Direct
H01045017,1 to 25,International Direct
H01045032,26 to 200,NAM Low-Touch
H01045105,1 to 25,NAM Low-Touch
H01045139,26 to 200,NAM Low-Touch
H01045155,1 to 25,NAM Low-Touch
H01045163,1 to 25,International Low-touch
H01045210,26 to 200,NAM Low-Touch
H01045226,1 to 25,NAM Low-Touch
H01141569,1 to 25,International Low-touch
H01141864,1 to 25,NAM Low-Touch
H01141940,26 to 200,NAM Low-Touch
H01142041,1 to 25,International Direct
H01142287,26 to 200,International Direct
H01142493,1 to 25,International Direct
H01142511,26 to 200,NAM Low-Touch
H01142628,26 to 200,International Partner
H01142641,1 to 25,NAM Low-Touch
H01142702,26 to 200,NAM Direct
H01142756,1 to 25,NAM Direct
H01142916,26 to 200,NAM Low-Touch
H01142937,1 to 25,NAM Low-Touch
H01142946,1 to 25,International Direct
H01143305,1 to 25,NAM Low-Touch
H01143363,26 to 200,International Direct
H01143387,1 to 25,International Direct
H01143404,26 to 200,NAM Direct
H01143412,1 to 25,NAM Low-Touch
H01143433,201 or Above,International Partner
H01143592,1 to 25,NAM Partner
H01143785,1 to 25,NAM Partner
H01143838,1 to 25,International Direct
H01143859,26 to 200,NAM Low-Touch
H01143874,26 to 200,NAM Low-Touch
H01143901,26 to 200,International Partner
H01143991,201 or Above,International Partner
H01144035,1 to 25,International Low-touch
H01144064,26 to 200,International Low-touch
H01144097,1 to 25,International Low-touch
H01144113,1 to 25,International Low-touch
